state,level,effect_year,end_year,citation_year,policy_type,policy_type_simple,citation,authority,category_nutrition_labeling,category_institutional_procurement,category_nutrition_standards,category_product_reformulation,category_educational_campaign,category_other,category_other_who,age_children,age_elderly,data_source,description,details_voluntary,details_mandatory,details_taskforce,details_studies,details_pricing,details_farmerincentives,details_suggarfat,age_toddler,age_other,veteran,org_school,org_farmers,org_groceries,org_army,org_hospital,org_restaurant,org_vendingmachine,org_public,org_other
NY,city,2010,2014,2015,Policy,Administrative Rule,"Moran A, Lederer A, Curtis CJ. Use of nutrition standards to improve nutritional quality of hospital patient meals: findings from New York City‚Äôs Healthy Hospital Food Initiative. Journal of the Academy of Nutrition and Dietetics. 2015 Nov 1;115(11):1847-54.",,0,1,0,0,0,0,0,0,0,manual,"The New York City Health Department implemented the Healthy Hospital Food Initiative (HHFI) from 2010-2014, which included nutrient-based food procurement standards and standards for patient meals. A study comparing the nutritional composition of regular-diet patient meals in 8 hospitals before and after the initiative found that ‚ÄúMedian sodium content decreased 19%, from 2,636mg to 2,149mg per day.‚Äù Additionally, fiber increased by 25%, the percentage of calories from fat decreased by 24% and from saturated fat by 21%, and daily dessert offerings decreased 92%. At follow-up, nutrition content across all hospital menus improved and either met or exceeded the minimum HHFI standards.",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
NY,city,2010,2014,2019,Statute and Regulation,Law,"In 2015, the New York City Department of Health (DOH) implemented and enforced a regulation requiring warning labels on high sodium menu items (>2,300 mg/item) in chain restaurants. To create awareness for the regulation and foster restaurant compliance, the DOH held a press event with industry and mailed guidance to restaurants on how to meet the regulation requirements. They also rolled out a media campaign to educate the public about the warning icons in English and Spanish via print, television, and online media platforms. Days after the regulation went into effect, the National Restaurant Association filed a lawsuit to block its implementation. After an 18-month legal battle, the city won the lawsuit and enforcement began in 2016. The key steps for designing a high-sodium warning policy include designing the label, defining the sodium threshold above which consumers should be alerted, and determining which restaurants would be required to comply.",,1,0,0,0,0,0,0,0,0,manual,"In 2015, the New York City Department of Health (DOH) implemented and enforced a regulation requiring warning labels on high sodium menu items (>2,300 mg/item) in chain restaurants. To create awareness for the regulation and foster restaurant compliance, the DOH held a press event with industry and mailed guidance to restaurants on how to meet the regulation requirements. They also rolled out a media campaign to educate the public about the warning icons in English and Spanish via print, television, and online media platforms. Days after the regulation went into effect, the National Restaurant Association filed a lawsuit to block its implementation. After an 18-month legal battle, the city won the lawsuit and enforcement began in 2016. The key steps for designing a high-sodium warning policy include designing the label, defining the sodium threshold above which consumers should be alerted, and determining which restaurants would be required to comply.",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
NY,county,2011,,2011,Policy,Administrative Rule,millionhearts.hhs.gov/files/PN_Schenectady.pdf,,0,1,0,0,0,0,0,0,1,millionhearts,"Schenectady County Public Health Services, in collaboration with Cornell Cooperative Extension, plans to reduce the sodium content in seniors‚Äô home-delivered meals and meals served at congregate meal sites by 30% over three years. Improvement: Sodium decreased almost 10% in one year across a five-week rotating menu. Nearly 109,000 senior home-delivered and congregate meals are prepared each year by staff at Glendale Nursing Home.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NY,city,2015,2020,2015,Policy,Administrative Rule,"This policy is located in New York City, New York Rules, Title 24 - Department of Health and Mental Hygiene, New York City Health Code, Title IV - Environmental Sanitation, Part A - Food and Drugs, Article 81 - Food Preparation and Food Establishments, Section 81.49 - Sodium warning. History: Added City Record 9/16/2015, eff. 10/16/2015.",,0,0,1,0,0,0,1,0,0,manual,This policy requires chain restaurants with 15 or more locations to provide high sodium content warning labels on menu boards for food items or combination meals containing more than or equal to 2300 milligrams (mg) of sodium.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
NM,city,,2017,,Resolution,Law,"Albuquerque, N.M., Admin. Instructions 3-15 (current through November 2017)",,1,0,0,0,0,0,0,0,0,manual,"Requires all food and beverages in vending machines on city-owned or leased property, or on real property which is occupied by city employees during the day, to meet specified sodium and trans fat standards, and for all machines to provide calorie labeling information. Also requires 25% of food products to meet additional nutrition standards relating to calories, fat and sugar content; and 50% of beverages to meet calorie standards, with other guidelines for milk and juice.",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
CA,county,2009,2018,2006,Other,Other,"Albuquerque, N.M., Admin. Instructions 3-15 (current through November 2017)",,0,0,1,0,0,0,1,0,0,manual,"Establishes nutrition standards for all food and beverages offered in county-contracted vending machines in county facilities and offices (unless exempted by the Board of Supervisors). Standards address fat, sodium, calories, trans fat, and added sugars.",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
MO,city,2014,,,Resolution,Law,"Brentwood, Mo., Resolution 1019 (Oct. 20, 2014)",,0,0,0,0,0,1,1,0,0,manual,"Adopts healthy vending guidelines for city-owned facilities. Guidelines require that 50% of food and beverages in each machine meet specific nutrition standards. Beverage standard focus on water and low- or no-calorie beverages; food nutrition standards address fat, trans fat, sodium, dietary fiber, and limit sugar. Standards also address pricing and placement.",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
MD,county,2020,2021,,Statute and Regulation,Law,"Prince George‚Äôs County, Md., Code of Ordinances ¬ß¬ß 12-215 to -218 (current through Nov. 2, 2021)",,0,0,1,0,0,0,1,1,0,manual,"This law requires food service facilities in the county that offer children's meals to offer with those meals a healthy default side option and--where a beverage is included as part of the meal--a healthy default beverage. They must also offer at least one meal that is a Healthy Children's Meal. The law specifies that its requirements are to be phased in over four years, with enforcement beginning in year five. Beverages permitted for the default healthy beverage option include unsweetened waters; 100% fruit juices served undiluted or mixed with water, with no added sweeteners in servings of no more than eight ounces; and dairy and non-dairy milks that are served in portions with no more than 130 calories. Healthy Childrens Meal are meals that contain not more than: 550 calories; 700 milligrams of sodium; 10 percent of calories from saturated fat; 15 grams of added sugars; and 0 grams of trans fat, and comprised of foods from certain specified categories (fruit, vegetable, low/non-fat dairy, meat/meat alternate, whole grains), including at least one 1/2 cup serving of non-fried fruits or vegetables. The healthy default side for childrens meals that are not a Healthy Childrens Meal must be the healthiest side option available as part of aHealthy Children's Meal (note: healthiest is not defined). The law also defines childrens meals, and expressly excludes a combination of food items that has been prepackaged by or at a facility other than the food service facility offering the prepackaged combination for purchase.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
MD,county,2015,2017,2015,Statute and Regulation,Law,"Howard County, Md., Code ¬ß 12.1800 et seq. (current through Dec. 28, 2017)",,1,0,1,0,0,0,0,1,0,manual,"Provides nutrition standards for packaged food and beverages served at youth-oriented County programs, and sold through vending machines on County property. (to be applied to 75% of packaged food and beverages offered in vending machines on County property).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
KS,county,2016,,,Resolution,Law,"Thomas County, Kan. Ordinance No. 2016-23 (2016)",,0,0,1,0,0,0,1,0,0,manual,"This resolution requires all vending machines, coolers, and other beverage retail equipment on county property to meet nutritional guidelines.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
NY,city,2015,2017,,Policy,Administrative Rule,"Albany, N.Y., Code ¬ß 34-2 (current through May 15, 2017)",,0,1,0,0,0,0,0,0,0,manual,"Directs the Mayor's Office to develop and adopt a Healthy Meetings and Special Events Policy, which will include healthy meeting guidelines so that when food is provided at activities and special events supported by or sponsored by the City, healthy food and beverage options must be included. The policy also will encourage physical activity, greener options, and support of local products. Requires all events, conferences, and meetings, including departmental meetings, to adhere to the Guidelines, and states that the City is joining the National Alliance for Nutrition and Activity Healthy Meeting Pledge, and encourages other City-related agencies to adopt healthy meeting guidelines.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
CA,state,2011,2019,,Policy,Administrative Rule,"San Francisco, Cal, Code ¬ß 471 (current through Sep. 11, 2019)",,0,0,1,0,0,0,1,0,0,manual,"San Francisco's Healthy Food Incentive Ordinance allows incentive items (such as a toy) to be given away with the purchase of a meal, food, or beverage only if the meal/food/beverage meets specific nutrition standards.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
MD,county,2010,2019,,Statute and Regulation,Law,"Montgomery County, Md., Code of Ordinances ¬ß 15-15A (current through Oct. 2, 2019)",,0,0,1,0,0,0,1,0,0,manual,"This policy is located in Montgomery County, Maryland Code of Ordinances, Part II - Local Laws, Resolutions, Ordinances, Etc., Chapter 15 - Eating and Drinking Establishments. History: 2009 L.M.C., ch. 29, ¬ß¬ß 1, 2; 2010 L.M.C., ch. 40, ¬ß 1.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
,national,2013,,2005,Regulation,Law,"§ 501.22 Animal foods; labeling of spices, flavorings, colorings, and chemical preservatives. https://1.next.westlaw.com/Document/N95D048C1508311E3925AF04A0204CB1C/View/FullText.html?transitionType=SearchItem&contextData=(sc.Search)",Ala. Code ¬ß 16-3-12 (1975),1,0,0,0,0,0,0,0,0,Westlaw,"h) The label of a food to which flavor is added shall declare the flavor in the statement of ingredients in the following way:
(1) Spice, natural flavor, and artificial flavor may be declared as spice, natural flavor, or artificial flavor, or any combination thereof, as the case may be.
(2) An incidental additive in a food, originating in a spice or flavor used in the manufacture of the food, need not be declared in the statement of ingredients if it meets the requirements of § 501.100(a)(3).
(3) Substances obtained by cutting, grinding, drying, pulping, or similar processing of tissues derived from fruit, vegetable, meat, fish, or poultry, e.g., powdered or granulated onions, garlic powder, and celery powder, are commonly understood by consumers to be food rather than flavor and shall be declared by their common or usual name.
(4) Any salt (sodium chloride) used as an ingredient in food shall be declared by its common or usual name salt.
(5) Any monosodium glutamate used as an ingredient in food shall be declared by its common or usual name monosodium glutamate.
(6) Any pyroligneous acid or other artificial smoke flavors used as an ingredient in a food may be declared as artificial flavor or artificial smoke flavor. No representation may be made, either directly or implied, that a food flavored with pyroligneous acid or other artificial smoke flavor has been smoked or has a true smoked flavor, or that a seasoning sauce or similar product containing pyroligneous acid or other artificial smoke flavor and used to season or flavor other foods will result in a smoked product or one having a true smoked flavor.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
,national,2013,,,Regulation,Law,"§ 180.37 Saccharin, ammonium saccharin, calcium saccharin, and sodium saccharin. https://1.next.westlaw.com/Document/N7FBC17305B1911E39E5C8D30E9059B00/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad7403600000181d45136315efecc4f%3Fppcid%3D5b6509318a594e9a950627ae9e83ed19%26Nav%3DREGULATION%26fragmentIdentifier%3DN7FBC17305B1911E39E5C8D30E9059B00%26parentRank%3D0%26startIndex%3D1%26contextData%3D%2528sc.Search%2529%26transitionType%3DSearchItem&listSource=Search&listPageSource=7bacce205df04f8816d242438b09e24b&list=REGULATION&rank=2&sessionScopeId=33e3a529d7963903decf3e811f48a85b4080ae91cf981ffc8ec69703f7590f7e&ppcid=5b6509318a594e9a950627ae9e83ed19&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Search%29",21 C.F.R. § 180.37,1,0,1,0,1,0,0,0,0,Westlaw,"The food additives saccharin, ammonium saccharin, calcium saccharin, and sodium saccharin may be safely used as sweetening agents in food in accordance with the following conditions, if the substitution for nutritive sweeteners is for a valid special dietary purpose and is in accord with current special dietary food regulations and policies or if the use or intended use is for an authorized technological purpose other than calorie reduction:
(a) Saccharin is the chemical, 1,2–benzisothiazolin–3–one - 1,1 - dioxide (C7H5NO3S). The named salts of saccharin are produced by the additional neutralization of saccharin with the proper base to yield the desired salt.
(b) The food additives meet the specifications of the Food Chemicals Codex, 7th ed. (2010), pp. 52–54, 153–154, 898–899, 961–962, which is incorporated by reference. The Director of the Office of the Federal Register approves this incorporation by reference in accordance with 5 U.S.C. 552(a) and 1 CFR part 51. You may obtain copies from the United States Pharmacopeial Convention, 12601 Twinbrook Pkwy., Rockville, MD 20852 (Internet address http://www.usp.org). Copies may be examined at the Food and Drug Administration's Main Library, 10903 New Hampshire Ave., Bldg. 2, Third Floor, Silver Spring, MD 20993, 301–796–2039, or at the National Archives and Records Administration (NARA). For information on the availability of this material at NARA, call 202–741–6030 or go to: http://www.archives.gov/federal-register/cfr/ibr-locations.html.
(c) Authority for such use shall expire when the Commissioner receives the final reports on the ongoing studies in Canada and publishes an order on the safety of saccharin and its salts based on those reports and other available data.
(d) The additives are used or intended for use as a sweetening agent only in special dietary foods, as follows:
(1) In beverages, fruit juice drinks, and bases or mixes when prepared for consumption in accordance with directions, in amounts not to exceed 12 milligrams of the additive, calculated as saccharin, per fluid ounce.
(2) As a sugar substitute for cooking or table use, in amounts not to exceed 20 milligrams of the additive, calculated as saccharin, for each expressed teaspoonful of sugar sweetening equivalency.
(3) In processed foods, in amounts not to exceed 30 milligrams of the additive, calculated as saccharin, per serving of designated size.
(e) The additives are used or intended for use only for the following technological purposes:
(1) To reduce bulk and enhance flavors in chewable vitamin tablets, chewable mineral tablets, or combinations thereof.
(2) To retain flavor and physical properties of chewing gum.
(3) To enhance flavor of flavor chips used in nonstandardized bakery products.
(f) To assure safe use of the additives, in addition to the other information required by the Act:
(1) The label of the additive and any intermediate mixes of the additive for manufacturing purposes shall bear:
(i) The name of the additive.
(ii) A statement of the concentration of the additive, expressed as saccharin, in any intermediate mix.
(iii) Adequate directions for use to provide a final food product that complies with the limitations prescribed in paragraphs (d) and (e) of this section.
(2) The label of any finished food product containing the additive shall bear:
(i) The name of the additive.
(ii) The amount of the additive, calculated as saccharin, as follows:
(a) For beverages, in milligrams per fluid ounce;
(b) For cooking or table use products, in milligrams per dispensing unit;
(c) For processed foods, in terms of the weight or size of a serving which shall be that quantity of the food containing 30 milligrams or less of the additive.
(iii) When the additive is used for calorie reduction, such other labeling as is required by part 105 of this chapter.",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
,national,2013,,,Regulation,Law,§ 172.810 Dioctyl sodium sulfosuccinate. https://1.next.westlaw.com/Document/N55900F505B0711E39E5C8D30E9059B00/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad7403600000181d45136315efecc4f%3Fppcid%3D5b6509318a594e9a950627ae9e83ed19%26Nav%3DREGULATION%26fragmentIdentifier%3DN55900F505B0711E39E5C8D30E9059B00%26parentRank%3D0%26startIndex%3D1%26contextData%3D%2528sc.Search%2529%26transitionType%3DSearchItem&listSource=Search&listPageSource=7bacce205df04f8816d242438b09e24b&list=REGULATION&rank=3&sessionScopeId=33e3a529d7963903decf3e811f48a85b4080ae91cf981ffc8ec69703f7590f7e&ppcid=5b6509318a594e9a950627ae9e83ed19&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Search%29,21 C.F.R. § 172.810,0,0,1,1,0,0,0,0,0,Westlaw,"The food additive, dioctyl sodium sulfosuccinate, meets the specifications of the Food Chemicals Codex, 7th ed. (2010), pp. 313–314, which is incorporated by reference. The Director of the Office of the Federal Register approves this incorporation by reference in accordance with 5 U.S.C. 552(a) and 1 CFR part 51. You may obtain copies from the United States Pharmacopeial Convention, 12601 Twinbrook Pkwy., Rockville, MD 20852 (Internet address http://www.usp.org). Copies may be examined at the Food and Drug Administration's Main Library, 10903 New Hampshire Ave., Bldg. 2, Third Floor, Silver Spring, MD 20993, 301–796–2039, or at the National Archives and Records Administration (NARA). For information on the availability of this material at NARA, call 202–741–6030 or go to: http://www.archives.gov/federal_register/cfr/ibr_locations.html). The food additive, dioctyl sodium sulfosuccinate, may be safely used in food in accordance with the following prescribed conditions:
(a) As a wetting agent in the following fumaric acid-acidulated foods: Dry gelatin dessert, dry beverage base, and fruit juice drinks, when standards of identity do not preclude such use. The labeling of the dry gelatin dessert and dry beverage base shall bear adequate directions for use, and the additive shall be used in such an amount that the finished gelatin dessert will contain not in excess of 15 parts per million of the additive and the finished beverage or fruit juice drink will contain not in excess of 10 parts per million of the additive.
(b) As a processing aid in sugar factories in the production of unrefined cane sugar, in an amount not in excess of 0.5 part per million of the additive per percentage point of sucrose in the juice, syrup, or massecuite being processed, and so used that the final molasses will contain no more than 25 parts per million of the additive.
(c) As a solubilizing agent on gums and hydrophilic colloids to be used in food as stabilizing and thickening agents, when standards of identity do not preclude such use. The additive is used in an amount not to exceed 0.5 percent by weight of the gums or hydrophilic colloids.
(d) As an emulsifying agent for cocoa fat in noncarbonated beverages containing cocoa, whereby the amount of the additive does not exceed 25 parts per million of the finished beverage.
(e) As a dispersing agent in “cocoa with dioctyl sodium sulfosuccinate for manufacturing” that conforms to the provisions of § 163.117 of this chapter and the use limitations prescribed in § 172.520, in an amount not to exceed 0.4 percent by weight thereof.
(f) As a processing aid and wetting agent in combination with α-hydro-omega - hydroxy - poly(oxyethylene) - poly-(oxypropylene)(53–59 moles) poly(oxyethylene)(14–16 moles) block copolymer, having a molecular weight range of 3,500–4,125 and a cloud point of 9° C–12° C in 10 percent aqueous solution, for fumaric acid used in fumaric acid-acidulated dry beverage base and in fumaric acid-acidulated fruit juice drinks, when standards of identity do not preclude such use. The labeling of the dry beverage base shall bear adequate directions for use, and the additives shall be used in such an amount that the finished beverage or fruit juice drink will contain not in excess of a total of 10 parts per million of the dioctyl sodium sulfosuccinate-block copolymer combination.",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
,national,2017,,,Policy,Administrative Rule,Updated: FDA Finalizes New Nutrition Facts Label for Packaged Foods. https://1.next.westlaw.com/Document/Ia68e32251e2811e698dc8b09b4f043e0/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad7403600000181d46805b85efee1e2%3Fppcid%3D56e0cd66d0e74b5da3df80b032fd8a64%26Nav%3DKNOWHOW%26fragmentIdentifier%3DIa68e32251e2811e698dc8b09b4f043e0%26parentRank%3D0%26startIndex%3D1%26contextData%3D%2528sc.Search%2529%26transitionType%3DSearchItem&listSource=Search&listPageSource=5b123488b9b253b9c8362641f9b43419&list=KNOWHOW&rank=4&sessionScopeId=33e3a529d7963903decf3e811f48a85b4080ae91cf981ffc8ec69703f7590f7e&ppcid=56e0cd66d0e74b5da3df80b032fd8a64&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Search%29,Practical Law Commercial Transactions,1,0,1,0,0,0,0,0,0,Westlaw,"On May 20, 2016, the FDA announced that it has modernized the Nutrition Facts label for packaged foods. The new label makes changes to:Visual design.Nutritional reporting.Serving size and package size reporting.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
,national,2022,,,Regulation,Law,§ 210.11 Competitive food service and standards. https://1.next.westlaw.com/Document/N083ADF20880611EC80BFE5BA0959471B/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad604ab00000181eb6575b2b7ce224d%3Fppcid%3Dd3a3ca9e4b2f44b9bb3dafd5794ec093%26Nav%3DREGULATION%26fragmentIdentifier%3DN083ADF20880611EC80BFE5BA0959471B%26parentRank%3D0%26startIndex%3D1%26contextData%3D%2528sc.Search%2529%26transitionType%3DSearchItem&listSource=Search&listPageSource=517239114bc0c974a7b9c31c03e40482&list=REGULATION&rank=1&sessionScopeId=3bbdd319befa1cf12a26afb4e28a665536af2cdac3e029b685b99633aadf37fc&ppcid=d3a3ca9e4b2f44b9bb3dafd5794ec093&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Search%29,7 C.F.R. § 210.11,1,0,1,0,1,0,0,1,0,Westlaw,"Paired exempt foods mean food items that have been designated as exempt from one or more of the nutrient requirements individually which are packaged together without any additional ingredients. Such “paired exempt foods” retain their individually designated exemption for total fat, saturated fat, and/or sugar when packaged together and sold but are required to meet the designated calorie and sodium standards specified in §§ 210.11(i) and (j) at all times.
(2) Fresh and frozen vegetables with no added ingredients except water and canned vegetables that are low sodium or no salt added that contain no added fat are exempt from the nutrient standards included in this section.
(2) Exemptions to the total fat requirement. Seafood with no added fat is exempt from the total fat requirement, but subject to the saturated fat, trans fat, sugar, calorie and sodium standards.
(3) Exemptions to the total fat and saturated fat requirements.
(i) Reduced fat cheese and part skim mozzarella cheese are exempt from the total fat and saturated fat standards, but subject to the trans fat, sugar, calorie and sodium standards. This exemption does not apply to combination foods.
(ii) Nuts and Seeds and Nut/Seed Butters are exempt from the total fat and saturated fat standards, but subject to the trans fat, sugar, calorie and sodium standards. This exemption does not apply to combination products that contain nuts, nut butters or seeds or seed butters with other ingredients such as peanut butter and crackers, trail mix, chocolate covered peanuts, etc.
(iii) Products that consist of only dried fruit with nuts and/or seeds with no added nutritive sweeteners or fat are exempt from the total fat, saturated fat and sugar standards, but subject to the trans fat, calorie and sodium standards.
(iv) Whole eggs with no added fat are exempt from the total fat and saturated fat standards but are subject to the trans fat, calorie and sodium standards.
(g) Trans fat. The trans fat content of a competitive food must be zero grams trans fat per portion as packaged or served (not more than 0.5 grams per portion).
(h) Total sugars.
(1) General requirement. The total sugar content of a competitive food must be not more than 35 percent of weight per item as packaged or served, except as specified in paragraph (h)(2) of this section.
(2) Exemptions to the total sugar requirement.
(i) Dried whole fruits or vegetables; dried whole fruit or vegetable pieces; and dehydrated fruits or vegetables with no added nutritive sweeteners are exempt from the sugar standard, but subject to the total fat, saturated fat,,1 trans fat, calorie and sodium standards. There is also an exemption from the sugar standard for dried fruits with nutritive sweeteners that are required for processing and/or palatability purposes;
(ii) Products that consist of only dried fruit with nuts and/or seeds with no added nutritive sweeteners or fat are exempt from the total fat, saturated fat, and sugar standards, but subject to the calorie, trans fat, and sodium standards; and
(i) Calorie and sodium content for snack items and side dishes sold as competitive foods. Snack items and side dishes sold as competitive foods must have not more than 200 calories and 200 mg of sodium per item as packaged or served, including the calories and sodium contained in any added accompaniments such as butter, cream cheese, salad dressing, etc., and must meet all of the other nutrient standards in this section. Effective July 1, 2016, these snack items and side dishes must have not more than 200 calories and 200 mg of sodium per item as packaged or served.
(j) Calorie and sodium content for entrée items sold as competitive foods. Entrée items sold as competitive foods, other than those exempt from the competitive food nutrition standards in paragraph (c)(3)(i) of this section, must have not more than 350 calories and 480 mg of sodium per item as packaged or served, including the calories and sodium contained in any added accompaniments such as butter, cream cheese, salad dressing, etc., and must meet all of the other nutrient standards in this section.",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
,national,2022,,,Regulation,Law,§ 220.8 Meal requirements for breakfasts.https://1.next.westlaw.com/Document/N44865322881411ECA1A3D1655A4021BD/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad604ab00000181eb6575b2b7ce224d%3Fppcid%3Dd3a3ca9e4b2f44b9bb3dafd5794ec093%26Nav%3DREGULATION%26fragmentIdentifier%3DN44865322881411ECA1A3D1655A4021BD%26parentRank%3D0%26startIndex%3D1%26contextData%3D%2528sc.Search%2529%26transitionType%3DSearchItem&listSource=Search&listPageSource=517239114bc0c974a7b9c31c03e40482&list=REGULATION&rank=2&sessionScopeId=3bbdd319befa1cf12a26afb4e28a665536af2cdac3e029b685b99633aadf37fc&ppcid=d3a3ca9e4b2f44b9bb3dafd5794ec093&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Search%29,7 C.F.R. § 220.8,0,0,1,0,0,0,1,1,0,Westlaw,"(a) General requirements. This section contains the meal requirements applicable to school breakfasts for students in grades K through 12, and for children under the age of 5. In general, school food authorities must ensure that participating schools provide nutritious, well-balanced, and age-appropriate breakfasts to all the children they serve to improve their diet and safeguard their health. (iii) Average sodium content of the meals offered to each age/grade group must not exceed the maximum level specified in paragraph (f) of this section;(2) Saturated fat. School breakfasts offered to all age/grade groups must, on average over the school week, provide less than 10 percent of total calories from saturated fat. (3) Sodium. School breakfasts offered to each age/grade group must meet, on average over the school week, the levels of sodium specified in the following table:(g) Compliance assistance. The State agency and school food authority must provide technical assistance and training to assist schools in planning breakfasts that meet the meal pattern in paragraph (c) of this section, the dietary specifications for calorie, saturated fat, sodium, and trans fat established in paragraph (f) of this section, and the meal pattern in paragraphs (o) and (p) of this section, as applicable. Compliance assistance may be offered during training, onsite visits, and/or administrative reviews.
(h) State agency responsibilities for monitoring dietary specifications.
(1) Calories, saturated fat, and sodium. When required by the administrative review process set forth in § 210.18, the State agency must conduct a weighted nutrient analysis to evaluate the average levels of calories, saturated fat, and sodium of the breakfasts offered during one week within the review period. The nutrient analysis must be conducted in accordance with the procedures established in § 210.10(i) of this chapter. If the results of the review indicate that the school breakfasts are not meeting the standards for calories, saturated fat, or sodium specified in paragraph (f) of this section, the State agency or school food authority must provide technical assistance and require the reviewed school to take corrective action to meet the requirements.
(4) Trans fat. Food products and ingredients used to prepare school meals must contain zero grams of trans fat (less than 0.5 grams) per serving. Schools must add the trans fat specification and request the required documentation (nutrition label or manufacturer specifications) in their procurement contracts. Documentation for food products and food ingredients must indicate zero grams of trans fat per serving. Meats that contain a minimal amount of naturally-occurring trans fats are allowed in the school meal programs.",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
,national,2022,,,Regulation,Law,§ 210.10 Meal requirements for lunches and requirements for afterschool snacks. https://1.next.westlaw.com/Document/NB2A3AAC2880411ECBF909B669E5F01E0/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad604ab00000181eb6575b2b7ce224d%3Fppcid%3Dd3a3ca9e4b2f44b9bb3dafd5794ec093%26Nav%3DREGULATION%26fragmentIdentifier%3DNB2A3AAC2880411ECBF909B669E5F01E0%26parentRank%3D0%26startIndex%3D1%26contextData%3D%2528sc.Search%2529%26transitionType%3DSearchItem&listSource=Search&listPageSource=517239114bc0c974a7b9c31c03e40482&list=REGULATION&rank=3&sessionScopeId=3bbdd319befa1cf12a26afb4e28a665536af2cdac3e029b685b99633aadf37fc&ppcid=d3a3ca9e4b2f44b9bb3dafd5794ec093&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Search%29,7 C.F.R. § 210.10,0,0,1,0,0,0,1,1,0,Westlaw,"(3) Production and menu records. Schools or school food authorities, as applicable, must keep production and menu records for the meals they produce. These records must show how the meals offered contribute to the required food components and food quantities for each age/grade group every day. Labels or manufacturer specifications for food products and ingredients used to prepare school meals must indicate zero grams of trans fat per serving (less than 0.5 grams). Schools or school food authorities must maintain records of the latest nutritional analysis of the school menus conducted by the State agency. Production and menu records must be maintained in accordance with FNS guidance. 
(ii) Average saturated fat content of the meals offered to each age/grade group must be less than 10 percent of total calories; and
(iii) Average sodium content of the meals offered to each age/grade group must not exceed the maximum level specified in paragraph (f) of this section.",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
